x,y,z
0.300000,1,0.300000
0.300000,2,0.161977
0.300000,3,-0.858481
0.300000,4,-0.690347
0.300000,5,0.930556
0.300000,6,0.959575
0.300000,7,-0.146928
0.300000,8,-0.709366
0.300000,9,0.998689
0.300000,10,0.682742
0.400000,1,0.400000
0.400000,2,0.955016
0.400000,3,0.104766
0.400000,4,-0.108330
0.400000,5,-0.165129
0.400000,6,-0.883569
0.400000,7,0.056089
0.400000,8,0.623259
0.400000,9,-0.227126
0.400000,10,-0.865615
0.500000,1,0.500000
0.500000,2,-0.500000
0.500000,3,-0.500000
0.500000,4,-0.500000
0.500000,5,-0.500000
0.500000,6,-0.500000
0.500000,7,-0.500000
0.500000,8,-0.500000
0.500000,9,-0.500001
0.500000,10,-0.500009
0.600000,1,0.600000
0.600000,2,-0.643878
0.600000,3,0.196052
0.600000,4,-0.999877
0.600000,5,0.968636
0.600000,6,-0.640028
0.600000,7,0.116709
0.600000,8,-0.296299
0.600000,9,0.100491
0.600000,10,-0.039763
0.700000,1,0.700000
0.700000,2,0.987226
0.700000,3,-0.835683
0.700000,4,-0.992564
0.700000,5,-0.372434
0.700000,6,0.984359
0.700000,7,-0.952950
0.700000,8,0.213540
0.700000,9,-0.954873
0.700000,10,0.112409
0.800000,1,0.800000
0.800000,2,-0.643878
0.800000,3,0.196052
0.800000,4,-0.999877
0.800000,5,0.968636
0.800000,6,-0.640028
0.800000,7,0.116709
0.800000,8,-0.296299
0.800000,9,0.100492
0.800000,10,-0.039779
0.900000,1,0.900000
0.900000,2,0.595231
0.900000,3,-0.713676
0.900000,4,0.988869
0.900000,5,-0.730229
0.900000,6,0.861726
0.900000,7,-0.613254
0.900000,8,-0.419419
0.900000,9,0.801084
0.900000,10,-0.665759
